Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
Australia,Murray Bridge,31,Good,0,Good,28,Good,0,Good,31,Good,-35.117,139.267
Australia,Hobart,48,Good,0,Good,24,Good,1,Good,48,Good,-42.8806,147.325
Australia,Hobart,48,Good,0,Good,24,Good,1,Good,48,Good,41.514,-87.2729
Australia,Hobart,48,Good,0,Good,24,Good,1,Good,48,Good,44.4967,-88.1602
Australia,Innisfail,26,Good,0,Good,25,Good,0,Good,26,Good,-17.5238,146.0311
Australia,Bairnsdale,26,Good,0,Good,26,Good,0,Good,8,Good,-37.8333,147.6167
Australia,Caboolture,24,Good,0,Good,21,Good,8,Good,24,Good,-27.0667,152.967
Australia,Wodonga,25,Good,0,Good,25,Good,0,Good,11,Good,-36.1214,146.8881
Australia,Yeppoon,23,Good,0,Good,23,Good,3,Good,11,Good,-23.1288,150.7444
Australia,Albury,24,Good,0,Good,11,Good,3,Good,24,Good,-36.0806,146.9158
Australia,Hervey Bay,36,Good,0,Good,36,Good,0,Good,17,Good,-25.29,152.84
Australia,Port Pirie,20,Good,0,Good,20,Good,0,Good,19,Good,-33.1858,138.0169
Australia,Busselton,32,Good,0,Good,32,Good,0,Good,8,Good,-33.6478,115.3458
Australia,Whyalla,31,Good,0,Good,25,Good,0,Good,31,Good,-33.0333,137.5667
Malaysia,Pasir Gudang,141,Unhealthy for Sensitive Groups,2,Good,4,Good,21,Good,141,Unhealthy for Sensitive Groups,1.5028,103.9356
Australia,Dubbo,15,Good,0,Good,15,Good,0,Good,13,Good,-32.2569,148.6011
Australia,Gympie,25,Good,0,Good,25,Good,3,Good,17,Good,-26.19,152.6655
Malaysia,Johor Bahru,107,Unhealthy for Sensitive Groups,1,Good,35,Good,3,Good,107,Unhealthy for Sensitive Groups,1.4556,103.7611
Australia,Mount Gambier,18,Good,0,Good,18,Good,0,Good,14,Good,-37.8294,140.7828
Malaysia,Sibu,61,Moderate,3,Good,21,Good,0,Good,61,Moderate,2.3,111.8167
Malaysia,Kuching,46,Good,1,Good,16,Good,0,Good,46,Good,1.5575,110.3439
Australia,Caloundra,28,Good,0,Good,28,Good,2,Good,17,Good,-26.7986,153.1289
Malaysia,Taiping,131,Unhealthy for Sensitive Groups,3,Good,24,Good,10,Good,131,Unhealthy for Sensitive Groups,4.85,100.7333
Malaysia,Teluk Intan,90,Moderate,2,Good,57,Moderate,1,Good,90,Moderate,4.0259,101.0213
